customer_id,full_name,email,city,country,signup_date
1,Allison Hill,cust1_donaldgarcia@hotmail.com,New Roberttown,Bermuda,2023-08-17
2,Jonathan Johnson,cust2_jennifermiles@yahoo.com,South Bridget,Sudan,2023-02-21
3,Olivia Moore,cust3_jpeterson@gmail.com,Curtisfurt,Bhutan,2024-07-17
4,Gregory Baker,cust4_blairamanda@yahoo.com,New Kellystad,Morocco,2024-05-16
5,Benjamin Stanley,cust5_tracie31@yahoo.com,Shawnstad,Central African Republic,2024-04-02
6,Daniel Adams,cust6_lynchgeorge@hotmail.com,East Steven,Faroe Islands,2023-10-13
7,Margaret Hawkins DDS,cust7_perezantonio@yahoo.com,Adamsborough,United States Minor Outlying Islands,2023-07-29
8,Sherri Edwards,cust8_pfoster@yahoo.com,West Donald,Samoa,2026-01-21
9,Deborah Richards,cust9_icox@hotmail.com,Daviston,Tokelau,2023-06-28
10,Mark Conner,cust10_ycarlson@yahoo.com,Riceside,Tokelau,2026-04-24
11,Melanie Wilson,cust11_kayla51@yahoo.com,Mooretown,Zimbabwe,2025-05-14
12,Michelle Stanton,cust12_williamrodriguez@hotmail.com,Meaganhaven,New Caledonia,2023-03-07
13,James Martin,cust13_georgetracy@gmail.com,Natashaport,Dominican Republic,2023-03-03
14,Shawn Arroyo,cust14_dennislisa@hotmail.com,East Donna,Yemen,2023-07-11
15,Deborah Brennan,cust15_ibrandt@hotmail.com,Lake Larry,Paraguay,2024-03-23
16,Jessica Holmes,cust16_wrightcaleb@gmail.com,New Jeffrey,Barbados,2024-04-21
17,Amy Jones,cust17_heathchad@gmail.com,Elizabethborough,Mauritius,2025-10-31
18,Timothy Duncan,cust18_esanchez@yahoo.com,North Collin,Jersey,2026-05-17
19,Jason Shields,cust19_nuneztracey@gmail.com,South Jessicaville,Egypt,2023-02-24
20,Joshua Taylor,cust20_joshuawright@gmail.com,Mortonside,Bolivia,2026-02-23
21,Zachary Huff,cust21_housemelinda@gmail.com,Tuckerborough,Tonga,2024-02-12
22,Anthony Gray,cust22_ybaker@yahoo.com,Rodneyside,Panama,2026-01-21
23,Brittney Phillips,cust23_rileyamy@hotmail.com,Brianshire,Lesotho,2025-05-09
24,Sarah Moore,cust24_yorkcasey@gmail.com,South David,Tuvalu,2024-03-27
25,Lauren Williams,cust25_barnesbrandy@hotmail.com,Sarahborough,Paraguay,2025-07-08
26,Cynthia Foster,cust26_stephen10@yahoo.com,North Amandahaven,Estonia,2026-04-21
27,Gregory Jones,cust27_mikemoore@hotmail.com,Cherylhaven,Algeria,2024-07-23
28,Kristen Huynh,cust28_mcmillandennis@gmail.com,Lake Angelaview,Finland,2023-01-14
29,Michelle Harris,cust29_william40@gmail.com,Calderonton,Afghanistan,2023-11-23
30,Carlos Whitney,cust30_joycearnold@yahoo.com,North Charlesberg,Mayotte,2025-05-15
31,Jacob Tran,cust31_tanderson@yahoo.com,West Jasonbury,Papua New Guinea,2024-11-27
32,Richard Henson,cust32_vdickson@gmail.com,Port Francisco,South Georgia and the South Sandwich Islands,2024-07-23
33,Sierra Johnson,cust33_kimberly63@yahoo.com,Port Jacqueline,Hong Kong,2023-11-15
34,Shannon Walker,cust34_ybailey@gmail.com,North Donna,Iran,2024-03-16
35,Sean Rasmussen,cust35_michael86@hotmail.com,Sheilaville,Turkey,2024-11-20
36,Cassandra Estes,cust36_benjamin96@yahoo.com,Samuelhaven,Brazil,2023-07-29
37,Kenneth Scott,cust37_zsmith@hotmail.com,West Ryan,Yemen,2023-07-09
38,Erin Edwards,cust38_cortezkevin@yahoo.com,Nguyenport,Micronesia,2025-02-17
39,Jason Bentley,cust39_christinaturner@hotmail.com,West Justinchester,Solomon Islands,2023-07-18
40,Mary Marshall,cust40_glowe@yahoo.com,Lake Christopher,Malaysia,2025-01-05
